zerotag_id,tag_uid,part_number,component_name,supplier,lot_number,date_code,quantity_initial,quantity_current,status,location,label_type,tamper_status
ZT-R1001,UID-R1001,RES-10K-0603,Resistor 10k 0603,Supplier A,L2026A01,2520,5000,5000,IN_STOCK,Warehouse A1,STANDARD,NORMAL
ZT-R1002,UID-R1002,CAP-100N-0603,Capacitor 100nF 0603,Supplier A,L2026B02,2518,4000,4000,IN_STOCK,Warehouse B2,STANDARD,NORMAL
ZT-R1003,UID-R1003,IC-NE555,IC Timer NE555,Supplier B,L2026C03,2509,300,300,IN_STOCK,Warehouse C1,STANDARD,NORMAL
ZT-R1005,UID-R1005,CAP-10UF-0805,Capacitor 10uF 0805,Supplier C,L2025X09,2519,3000,3000,IN_STOCK,Warehouse B2,STANDARD,NORMAL
ZT-R1008,UID-R1008,RES-10K-0603,Resistor 10k 0603,Supplier A,L2025X09,2518,5000,5000,IN_STOCK,Warehouse A1,STANDARD,NORMAL
ZT-R1010,UID-R1010,IC-MSL3-DEMO,MSL 3 Demo IC,Supplier D,L2026M03,2521,1000,1000,IN_STOCK,Dry Cabinet 01,STANDARD,NORMAL
ZT-R1012,UID-R1012,IC-MSL4-DEMO,MSL 4 Demo IC,Supplier D,L2026M04,2521,1000,1000,IN_STOCK,Dry Cabinet 01,STANDARD,NORMAL
ZT-R1013,UID-R1013,IC-MSL5-DEMO,MSL 5 Demo IC,Supplier D,L2026M05,2521,1000,1000,IN_STOCK,Dry Cabinet 02,STANDARD,NORMAL
ZT-R1015,UID-R9915,MCU-STM32-DEMO,STM32 Demo MCU,Supplier A,L2025X09,2519,3000,3000,BLOCKED,Hold Area,ANTI_TAMPER,TAMPER_WARNING
